;K;Trefferquote;Genauigkeit
0;1.0;0.035347426499082804;0.44432194046306506
1;2.0;0.0590120482202925;0.40049614112458654
2;3.0;0.07675706478129417;0.370635795663359
3;4.0;0.09380026056251793;0.34950385887541346
4;5.0;0.1072906839673386;0.33131201764057333
5;6.0;0.11957503684842267;0.3155090040426313
6;7.0;0.13069388332608262;0.30225232320050405
7;8.0;0.14008275285326813;0.29058710033076074
8;9.0;0.15037073757255073;0.2812691412470905
9;10.0;0.15853549707257647;0.2703969128996692
10;15.0;0.19243608398887868;0.2340683572216097
11;20.0;0.2218490905760622;0.211135611907387
12;25.0;0.24510698555872443;0.19309812568908488
13;30.0;0.26542500484383685;0.17857405365674384
14;35.0;0.28395219958474;0.16673491888486375
15;40.0;0.3013654052728596;0.15737320837927235
16;45.0;0.31541377339558;0.14865858140389562
17;50.0;0.3280770944091461;0.14119073869900772
18;60.0;0.3514763665935136;0.12881293642043368
19;70.0;0.3743024538866125;0.11939675539455033
20;80.0;0.3956763723715488;0.11156973539140022
21;90.0;0.4151526200539876;0.10471640328310668
22;100.0;0.4318120074980475;0.09879272326350605
23;200.0;0.5580769433560057;0.0661135611907387
24;300.0;0.6367242274025794;0.0516391032708563
25;400.0;0.6968969761151296;0.04304162072767365
26;500.0;0.7448825703112829;0.03717199558985668
27;600.0;0.786999142603009;0.032882212421903714
28;700.0;0.8239772834681459;0.029599149472357856
29;800.0;0.855646201342772;0.026976984564498346
30;900.0;0.8829795893075235;0.02479113071174813
31;1000.0;0.9058635569325424;0.022962513781697908
32;1100.0;0.9242260707016927;0.021317530319735392
33;1200.0;0.9390729385142347;0.01985529217199559
34;1300.0;0.9536438872881277;0.018594690865914677
35;1400.0;0.966012190808483;0.0174740116553788
36;1500.0;0.973700756112246;0.016449467107681
37;1600.0;0.9819897994612632;0.015537141675854467
38;1700.0;0.9900317818985533;0.014726635968610157
39;1800.0;0.9976631808715601;0.013988729633713096
