;airplane - biplane - 1119;airplane - commercial - 1146;airplane - fighter_jet - 1168;airplane - glider - 1267;airplane - stealth_bomber - 1293;balloon_vehicle - hot_air_balloon - 1337;aircraft - helicopter - 1302;spaceship - enterprise_like - 1354;spaceship - satellite - 1388;spaceship - flying_saucer - 1375;spaceship - tie_fighter - 1401;insect - ant - 0;insect - butterfly - 9;biped - human - 118;human - human_arms_out - 219;human - walking - 259;bird - flying_bird - 34;bird - standing_bird - 27;quadruped - dog - 86;quadruped - horse - 103;quadruped - rabbit - 109;animal - snake - 82;underwater_creature - sea_turtle - 277;underwater_creature - fish - 53;blade - axe - 729;blade - knife - 718;blade - sword - 687;body_part - face - 291;body_part - hand - 323;body_part - head - 340;body_part - skull - 376;0 - book - 1789;building - barn - 458;building - church - 389;building - gazebo - 393;building - one_story_home - 423;building - skyscraper - 463;tent - one_peak_tent - 473;building - two_story_home - 438;0 - chess_set - 1589;0 - city - 1646;computer - desktop - 1768;display_device - computer_monitor - 548;0 - door - 1705;0 - eyeglasses - 580;0 - fireplace - 1797;furniture - cabinet - 952;furniture - school_desk - 763;seat - bench - 774;chair - dining_chair - 808;seat - desk_chair - 792;furniture - shelves - 844;table - rectangular - 871;round - single_leg - 933;0 - geographic_map - 1686;gun - handgun - 648;0 - hat - 1626;0 - hourglass - 592;0 - ladder - 1642;lamp - streetlight - 617;liquid_container - glass_with_stem - 494;liquid_container - pail - 510;liquid_container - vase - 527;0 - mailbox - 514;guitar - electrical_guitar - 625;0 - newtonian_toy - 1666;plant - bush - 961;plant - flowers - 970;plant - potted_plant - 989;tree - barren - 1058;tree - conical - 1079;0 - satellite_dish - 1811;sailboat - large_sail_boat - 1453;sea_vessel - ship - 1427;sea_vessel - submarine - 1463;sign - billboard - 1682;0 - sink - 1807;0 - slot_machine - 1803;0 - staircase - 1733;tool - hammer - 1109;tool - shovel - 1099;0 - umbrella - 1748;car - race_car - 1502;car - sedan - 1517;vehicle - covered_wagon - 1565;cycle - motorcycle - 1479;vehicle - monster_truck - 1560;vehicle - semi - 1570;suv - jeep - 1489;train - train_car - 1584;0 - wheel - 733;wheel - gear - 741
1;airplane - biplane - 1121;airplane - fighter_jet - 1220;airplane - fighter_jet - 1218;airplane - fighter_jet - 1250;aircraft - helicopter - 1306;balloon_vehicle - hot_air_balloon - 1344;plant - potted_plant - 1007;quadruped - dog - 88;tree - conical - 1087;spaceship - flying_saucer - 1385;spaceship - tie_fighter - 1402;airplane - fighter_jet - 1240;bird - flying_bird - 34;human - walking - 262;human - human_arms_out - 221;quadruped - dog - 89;insect - butterfly - 9;plant - bush - 966;quadruped - dog - 92;quadruped - horse - 107;0 - slot_machine - 1803;0 - door - 1706;underwater_creature - sea_turtle - 281;underwater_creature - fish - 55;biped - human - 146;animal - snake - 84;building - skyscraper - 464;body_part - face - 295;plant - potted_plant - 1033;building - one_story_home - 432;body_part - skull - 380;0 - door - 1722;body_part - hand - 334;body_part - head - 364;0 - umbrella - 1750;vehicle - semi - 1575;display_device - computer_monitor - 550;table - rectangular - 909;furniture - cabinet - 954;insect - butterfly - 10;computer - desktop - 1772;building - one_story_home - 428;body_part - hand - 332;0 - door - 1708;plant - bush - 965;insect - butterfly - 10;vehicle - covered_wagon - 1569;0 - umbrella - 1751;airplane - biplane - 1139;plant - bush - 964;seat - desk_chair - 801;furniture - shelves - 850;plant - bush - 964;round - single_leg - 936;0 - geographic_map - 1694;train - train_car - 1586;building - one_story_home - 432;0 - hourglass - 594;blade - sword - 695;balloon_vehicle - hot_air_balloon - 1341;building - skyscraper - 467;plant - potted_plant - 1021;display_device - computer_monitor - 558;building - gazebo - 395;guitar - electrical_guitar - 631;table - rectangular - 893;furniture - shelves - 848;plant - potted_plant - 991;bird - standing_bird - 29;tree - barren - 1076;spaceship - flying_saucer - 1376;liquid_container - vase - 545;0 - mailbox - 515;sea_vessel - ship - 1429;sea_vessel - submarine - 1470;bird - flying_bird - 44;0 - slot_machine - 1806;display_device - computer_monitor - 556;body_part - face - 297;guitar - electrical_guitar - 633;airplane - fighter_jet - 1200;table - rectangular - 919;car - race_car - 1506;car - sedan - 1527;vehicle - covered_wagon - 1569;cycle - motorcycle - 1482;suv - jeep - 1493;car - race_car - 1513;body_part - head - 366;furniture - cabinet - 953;spaceship - flying_saucer - 1382;body_part - head - 342
2;airplane - biplane - 1127;airplane - fighter_jet - 1198;airplane - fighter_jet - 1180;bird - flying_bird - 39;biped - human - 198;balloon_vehicle - hot_air_balloon - 1345;suv - jeep - 1493;table - rectangular - 891;bird - flying_bird - 36;spaceship - flying_saucer - 1386;spaceship - tie_fighter - 1405;airplane - fighter_jet - 1204;bird - flying_bird - 37;airplane - fighter_jet - 1202;human - human_arms_out - 223;human - human_arms_out - 241;airplane - biplane - 1127;0 - hat - 1630;spaceship - enterprise_like - 1354;aircraft - helicopter - 1330;display_device - computer_monitor - 557;tree - barren - 1076;computer - desktop - 1769;gun - handgun - 666;biped - human - 192;sea_vessel - submarine - 1468;underwater_creature - fish - 69;body_part - skull - 379;plant - potted_plant - 1003;bird - standing_bird - 27;0 - hat - 1628;0 - chess_set - 1596;plant - bush - 961;display_device - computer_monitor - 551;airplane - commercial - 1154;car - sedan - 1533;0 - hat - 1627;sign - billboard - 1683;building - barn - 459;building - church - 391;building - one_story_home - 430;train - train_car - 1588;display_device - computer_monitor - 549;0 - chess_set - 1596;tree - conical - 1080;insect - butterfly - 9;vehicle - covered_wagon - 1565;table - rectangular - 919;seat - bench - 780;tree - conical - 1084;seat - desk_chair - 798;0 - book - 1791;airplane - biplane - 1133;furniture - school_desk - 764;0 - door - 1722;building - one_story_home - 431;0 - hat - 1630;0 - hourglass - 593;blade - sword - 689;insect - ant - 1;airplane - fighter_jet - 1200;0 - mailbox - 514;display_device - computer_monitor - 557;airplane - fighter_jet - 1246;guitar - electrical_guitar - 634;table - rectangular - 899;body_part - hand - 334;tree - barren - 1062;underwater_creature - fish - 66;tree - barren - 1064;sea_vessel - ship - 1431;tent - one_peak_tent - 474;building - two_story_home - 442;sea_vessel - ship - 1443;biped - human - 126;furniture - shelves - 868;display_device - computer_monitor - 556;furniture - cabinet - 954;quadruped - rabbit - 111;human - walking - 262;0 - mailbox - 518;0 - umbrella - 1751;0 - slot_machine - 1803;car - sedan - 1523;furniture - cabinet - 952;sea_vessel - ship - 1441;suv - jeep - 1491;building - skyscraper - 464;body_part - face - 305;0 - slot_machine - 1805;spaceship - flying_saucer - 1381;display_device - computer_monitor - 558
3;airplane - biplane - 1131;airplane - fighter_jet - 1216;airplane - fighter_jet - 1258;aircraft - helicopter - 1322;aircraft - helicopter - 1316;balloon_vehicle - hot_air_balloon - 1338;airplane - fighter_jet - 1194;quadruped - horse - 106;underwater_creature - fish - 65;spaceship - flying_saucer - 1387;plant - potted_plant - 995;airplane - fighter_jet - 1206;bird - flying_bird - 42;biped - human - 150;human - human_arms_out - 237;quadruped - dog - 92;bird - flying_bird - 42;building - one_story_home - 432;0 - satellite_dish - 1813;quadruped - horse - 104;building - church - 389;tree - barren - 1064;body_part - head - 354;biped - human - 168;guitar - electrical_guitar - 630;blade - sword - 711;underwater_creature - fish - 57;body_part - face - 307;quadruped - dog - 91;building - two_story_home - 442;0 - satellite_dish - 1814;0 - door - 1708;furniture - shelves - 848;underwater_creature - fish - 63;furniture - shelves - 860;furniture - cabinet - 960;building - two_story_home - 448;liquid_container - pail - 512;furniture - cabinet - 955;0 - satellite_dish - 1813;computer - desktop - 1776;vehicle - monster_truck - 1561;0 - sink - 1807;0 - door - 1710;airplane - glider - 1274;tree - conical - 1084;quadruped - dog - 88;seat - desk_chair - 794;airplane - biplane - 1125;chair - dining_chair - 810;seat - desk_chair - 804;furniture - cabinet - 957;airplane - glider - 1267;bird - flying_bird - 46;gun - handgun - 664;0 - mailbox - 519;plant - bush - 966;0 - hourglass - 595;building - skyscraper - 467;tree - conical - 1082;lamp - streetlight - 619;airplane - fighter_jet - 1246;balloon_vehicle - hot_air_balloon - 1344;liquid_container - pail - 510;guitar - electrical_guitar - 627;0 - door - 1706;body_part - hand - 327;tree - barren - 1060;bird - standing_bird - 28;tree - barren - 1068;sea_vessel - ship - 1433;display_device - computer_monitor - 555;0 - satellite_dish - 1811;sea_vessel - submarine - 1464;0 - ladder - 1644;airplane - fighter_jet - 1210;0 - slot_machine - 1803;0 - slot_machine - 1806;quadruped - rabbit - 110;guitar - electrical_guitar - 636;blade - axe - 730;seat - bench - 778;car - race_car - 1515;car - sedan - 1519;tree - conical - 1083;cycle - motorcycle - 1480;aircraft - helicopter - 1304;plant - potted_plant - 1009;airplane - fighter_jet - 1210;body_part - head - 366;wheel - gear - 742;liquid_container - vase - 527
4;airplane - biplane - 1133;airplane - fighter_jet - 1260;airplane - fighter_jet - 1198;airplane - commercial - 1154;body_part - hand - 338;body_part - head - 360;0 - geographic_map - 1697;quadruped - dog - 90;tree - conical - 1081;spaceship - flying_saucer - 1381;plant - potted_plant - 1031;airplane - fighter_jet - 1174;airplane - biplane - 1127;biped - human - 186;airplane - fighter_jet - 1258;0 - door - 1719;plant - potted_plant - 1025;body_part - head - 340;quadruped - dog - 91;quadruped - dog - 90;display_device - computer_monitor - 558;tree - barren - 1058;display_device - computer_monitor - 556;0 - door - 1711;biped - human - 186;blade - knife - 720;spaceship - flying_saucer - 1376;computer - desktop - 1778;quadruped - dog - 89;building - church - 389;airplane - fighter_jet - 1250;0 - door - 1716;body_part - hand - 327;quadruped - rabbit - 112;spaceship - satellite - 1389;car - sedan - 1525;display_device - computer_monitor - 553;liquid_container - vase - 547;body_part - head - 356;plant - potted_plant - 999;building - two_story_home - 446;car - race_car - 1510;body_part - head - 364;0 - door - 1712;tree - barren - 1060;bird - flying_bird - 39;quadruped - horse - 106;airplane - glider - 1273;bird - flying_bird - 43;tree - barren - 1078;quadruped - dog - 86;furniture - shelves - 856;bird - flying_bird - 39;plant - bush - 963;0 - door - 1716;biped - human - 198;bird - standing_bird - 27;body_part - hand - 330;lamp - streetlight - 620;building - one_story_home - 431;human - human_arms_out - 241;building - gazebo - 395;building - barn - 459;aircraft - helicopter - 1312;guitar - electrical_guitar - 630;0 - eyeglasses - 585;furniture - shelves - 852;chair - dining_chair - 828;underwater_creature - fish - 60;plant - bush - 969;blade - sword - 717;liquid_container - pail - 513;display_device - computer_monitor - 555;sea_vessel - ship - 1433;0 - staircase - 1734;body_part - hand - 335;underwater_creature - sea_turtle - 281;furniture - cabinet - 955;body_part - skull - 379;0 - mailbox - 520;airplane - glider - 1283;airplane - glider - 1270;display_device - computer_monitor - 558;car - sedan - 1521;building - barn - 461;plant - potted_plant - 993;vehicle - monster_truck - 1561;underwater_creature - fish - 60;train - train_car - 1584;bird - standing_bird - 31;spaceship - flying_saucer - 1387;balloon_vehicle - hot_air_balloon - 1337
5;airplane - glider - 1274;airplane - fighter_jet - 1174;airplane - fighter_jet - 1182;table - rectangular - 871;body_part - hand - 326;display_device - computer_monitor - 558;suv - jeep - 1491;building - church - 391;aircraft - helicopter - 1336;spaceship - flying_saucer - 1382;liquid_container - glass_with_stem - 500;airplane - fighter_jet - 1190;seat - desk_chair - 794;biped - human - 136;airplane - fighter_jet - 1182;round - single_leg - 935;airplane - biplane - 1119;building - church - 389;0 - sink - 1808;building - two_story_home - 456;furniture - cabinet - 955;chair - dining_chair - 824;0 - sink - 1807;vehicle - semi - 1572;0 - mailbox - 517;sea_vessel - submarine - 1465;underwater_creature - fish - 67;body_part - face - 311;quadruped - horse - 105;building - barn - 461;bird - flying_bird - 35;0 - door - 1705;0 - staircase - 1738;display_device - computer_monitor - 557;bird - flying_bird - 39;0 - staircase - 1738;liquid_container - vase - 529;table - rectangular - 891;body_part - head - 360;seat - desk_chair - 792;building - two_story_home - 442;building - church - 392;computer - desktop - 1769;0 - door - 1714;tree - barren - 1064;spaceship - enterprise_like - 1358;spaceship - enterprise_like - 1354;plant - potted_plant - 1025;chair - dining_chair - 828;round - single_leg - 934;0 - satellite_dish - 1813;body_part - head - 362;0 - eyeglasses - 582;plant - bush - 962;0 - book - 1789;sailboat - large_sail_boat - 1457;building - one_story_home - 427;sea_vessel - submarine - 1471;airplane - fighter_jet - 1200;building - two_story_home - 454;blade - sword - 695;aircraft - helicopter - 1312;furniture - cabinet - 956;building - gazebo - 397;0 - mailbox - 517;0 - eyeglasses - 581;building - barn - 458;bird - flying_bird - 43;building - two_story_home - 444;0 - door - 1706;blade - sword - 709;liquid_container - vase - 529;building - barn - 461;blade - knife - 720;biped - human - 202;lamp - streetlight - 624;body_part - head - 354;0 - sink - 1807;body_part - skull - 378;human - walking - 261;human - human_arms_out - 241;body_part - face - 293;spaceship - tie_fighter - 1404;car - sedan - 1533;spaceship - enterprise_like - 1354;airplane - stealth_bomber - 1294;airplane - fighter_jet - 1210;tool - hammer - 1112;furniture - cabinet - 953;furniture - cabinet - 958;underwater_creature - sea_turtle - 280;balloon_vehicle - hot_air_balloon - 1344
6;bird - flying_bird - 43;airplane - commercial - 1150;airplane - fighter_jet - 1188;0 - staircase - 1739;airplane - fighter_jet - 1194;display_device - computer_monitor - 551;aircraft - helicopter - 1304;car - race_car - 1515;0 - mailbox - 514;0 - door - 1721;round - single_leg - 937;airplane - fighter_jet - 1188;plant - potted_plant - 1025;underwater_creature - fish - 68;plant - potted_plant - 1013;building - gazebo - 396;airplane - biplane - 1133;display_device - computer_monitor - 551;seat - desk_chair - 804;seat - desk_chair - 806;building - one_story_home - 434;0 - newtonian_toy - 1666;body_part - head - 358;car - sedan - 1535;biped - human - 160;blade - sword - 697;biped - human - 168;display_device - computer_monitor - 549;plant - potted_plant - 1017;plant - bush - 966;airplane - fighter_jet - 1264;furniture - shelves - 846;car - sedan - 1521;body_part - head - 360;airplane - commercial - 1164;building - one_story_home - 436;display_device - computer_monitor - 559;0 - umbrella - 1749;body_part - head - 358;quadruped - dog - 89;building - barn - 461;bird - standing_bird - 31;0 - slot_machine - 1806;0 - door - 1713;airplane - biplane - 1145;0 - chess_set - 1597;building - barn - 461;table - rectangular - 885;bird - flying_bird - 46;bird - flying_bird - 39;plant - potted_plant - 999;underwater_creature - sea_turtle - 280;aircraft - helicopter - 1322;airplane - biplane - 1121;insect - butterfly - 15;quadruped - horse - 103;body_part - face - 319;car - race_car - 1510;lamp - streetlight - 619;plant - potted_plant - 1007;blade - sword - 689;plant - potted_plant - 1019;balloon_vehicle - hot_air_balloon - 1345;aircraft - helicopter - 1336;0 - mailbox - 520;tree - barren - 1058;building - church - 392;seat - desk_chair - 794;car - sedan - 1531;0 - eyeglasses - 586;underwater_creature - fish - 59;building - one_story_home - 427;liquid_container - vase - 529;sea_vessel - ship - 1437;0 - staircase - 1737;suv - jeep - 1493;display_device - computer_monitor - 549;building - barn - 460;bird - standing_bird - 33;train - train_car - 1586;0 - mailbox - 516;furniture - school_desk - 763;body_part - head - 370;furniture - shelves - 846;airplane - fighter_jet - 1208;body_part - hand - 324;body_part - face - 297;underwater_creature - fish - 69;vehicle - monster_truck - 1561;train - train_car - 1588;0 - sink - 1809;furniture - cabinet - 956
7;airplane - biplane - 1129;airplane - fighter_jet - 1204;human - human_arms_out - 237;airplane - commercial - 1164;airplane - fighter_jet - 1248;wheel - gear - 741;bird - standing_bird - 28;quadruped - horse - 104;airplane - fighter_jet - 1204;display_device - computer_monitor - 560;spaceship - tie_fighter - 1403;airplane - fighter_jet - 1246;airplane - biplane - 1129;biped - human - 166;airplane - fighter_jet - 1254;human - walking - 263;airplane - biplane - 1129;0 - hat - 1626;seat - desk_chair - 792;aircraft - helicopter - 1302;display_device - computer_monitor - 556;0 - eyeglasses - 586;0 - slot_machine - 1806;human - walking - 260;guitar - electrical_guitar - 627;sea_vessel - submarine - 1464;underwater_creature - fish - 56;body_part - face - 297;0 - satellite_dish - 1813;building - two_story_home - 446;aircraft - helicopter - 1324;0 - door - 1710;0 - door - 1715;balloon_vehicle - hot_air_balloon - 1345;airplane - fighter_jet - 1192;car - sedan - 1521;body_part - hand - 332;table - rectangular - 877;building - two_story_home - 452;seat - desk_chair - 793;sailboat - large_sail_boat - 1453;0 - ladder - 1645;body_part - head - 358;0 - door - 1716;tree - conical - 1088;body_part - face - 313;human - human_arms_out - 257;airplane - glider - 1280;table - rectangular - 913;table - rectangular - 871;quadruped - dog - 91;0 - wheel - 734;plant - bush - 968;airplane - biplane - 1127;insect - butterfly - 11;body_part - hand - 336;display_device - computer_monitor - 554;plant - potted_plant - 1007;plant - potted_plant - 1005;0 - hourglass - 592;balloon_vehicle - hot_air_balloon - 1340;airplane - fighter_jet - 1234;building - one_story_home - 434;plant - potted_plant - 1021;0 - geographic_map - 1695;tree - barren - 1062;0 - slot_machine - 1804;chair - dining_chair - 816;car - sedan - 1529;0 - newtonian_toy - 1669;underwater_creature - fish - 67;0 - umbrella - 1749;computer - desktop - 1776;sea_vessel - ship - 1431;sea_vessel - ship - 1447;0 - geographic_map - 1697;computer - desktop - 1769;building - two_story_home - 438;building - two_story_home - 456;spaceship - enterprise_like - 1368;human - human_arms_out - 239;table - rectangular - 905;furniture - cabinet - 955;furniture - cabinet - 959;body_part - skull - 381;underwater_creature - fish - 54;body_part - face - 305;blade - sword - 699;bird - standing_bird - 28;vehicle - monster_truck - 1561;0 - wheel - 734;furniture - cabinet - 955
8;airplane - biplane - 1123;airplane - fighter_jet - 1236;airplane - fighter_jet - 1254;airplane - fighter_jet - 1264;airplane - fighter_jet - 1178;display_device - computer_monitor - 557;airplane - fighter_jet - 1210;spaceship - satellite - 1394;aircraft - helicopter - 1320;0 - door - 1720;spaceship - satellite - 1392;airplane - commercial - 1150;0 - fireplace - 1797;0 - mailbox - 520;airplane - fighter_jet - 1218;biped - human - 148;airplane - biplane - 1131;display_device - computer_monitor - 554;quadruped - horse - 106;bird - standing_bird - 30;building - two_story_home - 448;airplane - glider - 1268;body_part - head - 364;underwater_creature - fish - 57;biped - human - 128;blade - sword - 703;underwater_creature - fish - 59;0 - sink - 1810;quadruped - dog - 92;display_device - computer_monitor - 554;0 - fireplace - 1798;furniture - shelves - 858;car - sedan - 1529;display_device - computer_monitor - 554;airplane - commercial - 1156;0 - door - 1715;wheel - gear - 745;sailboat - large_sail_boat - 1453;furniture - cabinet - 958;plant - potted_plant - 1003;computer - desktop - 1770;car - race_car - 1514;display_device - computer_monitor - 556;0 - door - 1722;airplane - glider - 1268;bird - flying_bird - 34;building - one_story_home - 429;body_part - face - 293;airplane - biplane - 1121;plant - bush - 968;0 - chess_set - 1589;furniture - shelves - 866;airplane - commercial - 1148;airplane - biplane - 1125;vehicle - semi - 1572;aircraft - helicopter - 1330;0 - hat - 1631;tree - conical - 1082;plant - potted_plant - 1011;airplane - fighter_jet - 1248;0 - ladder - 1642;building - gazebo - 394;furniture - cabinet - 955;blade - axe - 731;body_part - hand - 324;animal - snake - 82;0 - book - 1792;chair - dining_chair - 826;tree - conical - 1082;airplane - biplane - 1145;sea_vessel - ship - 1429;body_part - head - 350;building - two_story_home - 446;sea_vessel - submarine - 1468;blade - knife - 719;human - human_arms_out - 255;furniture - cabinet - 954;building - two_story_home - 452;bird - flying_bird - 44;tool - hammer - 1111;liquid_container - glass_with_stem - 494;airplane - glider - 1278;building - two_story_home - 448;underwater_creature - fish - 54;building - one_story_home - 429;underwater_creature - fish - 61;quadruped - rabbit - 111;human - human_arms_out - 227;body_part - face - 311;building - barn - 460;0 - book - 1791;0 - city - 1658
9;0 - eyeglasses - 582;airplane - fighter_jet - 1212;human - human_arms_out - 223;airplane - fighter_jet - 1232;airplane - fighter_jet - 1186;body_part - head - 356;car - race_car - 1509;human - human_arms_out - 257;plant - potted_plant - 1019;0 - chess_set - 1590;building - gazebo - 396;airplane - fighter_jet - 1212;tree - conical - 1084;biped - human - 160;airplane - fighter_jet - 1168;quadruped - dog - 91;airplane - biplane - 1121;0 - hat - 1631;quadruped - horse - 107;building - one_story_home - 430;furniture - cabinet - 956;airplane - biplane - 1145;body_part - hand - 332;underwater_creature - fish - 56;guitar - electrical_guitar - 631;sea_vessel - submarine - 1469;tool - shovel - 1101;computer - desktop - 1775;quadruped - dog - 86;body_part - head - 364;0 - umbrella - 1750;0 - geographic_map - 1694;furniture - shelves - 846;building - one_story_home - 434;0 - umbrella - 1752;car - sedan - 1519;display_device - computer_monitor - 552;building - barn - 461;display_device - computer_monitor - 556;spaceship - satellite - 1394;0 - mailbox - 515;0 - slot_machine - 1806;underwater_creature - sea_turtle - 277;0 - book - 1789;tree - barren - 1074;spaceship - satellite - 1389;body_part - head - 346;bird - flying_bird - 37;plant - bush - 962;airplane - commercial - 1166;airplane - commercial - 1152;furniture - shelves - 852;chair - dining_chair - 816;tent - one_peak_tent - 476;furniture - shelves - 858;airplane - fighter_jet - 1248;display_device - computer_monitor - 555;bird - standing_bird - 31;human - human_arms_out - 241;spaceship - enterprise_like - 1368;lamp - streetlight - 620;plant - potted_plant - 1037;building - two_story_home - 438;plant - potted_plant - 1019;biped - human - 160;tree - barren - 1076;0 - fireplace - 1801;plant - bush - 965;car - sedan - 1525;tree - barren - 1074;sea_vessel - ship - 1427;0 - fireplace - 1802;0 - fireplace - 1802;biped - human - 134;blade - sword - 713;table - rectangular - 895;building - two_story_home - 438;furniture - cabinet - 958;bird - standing_bird - 32;car - race_car - 1509;biped - human - 148;airplane - glider - 1279;0 - sink - 1807;vehicle - semi - 1573;human - human_arms_out - 257;0 - geographic_map - 1695;body_part - face - 311;vehicle - semi - 1573;quadruped - rabbit - 110;table - rectangular - 895;furniture - shelves - 856;balloon_vehicle - hot_air_balloon - 1345
10;plant - bush - 962;insect - ant - 2;human - human_arms_out - 221;spaceship - satellite - 1389;airplane - fighter_jet - 1266;balloon_vehicle - hot_air_balloon - 1342;sailboat - large_sail_boat - 1457;quadruped - horse - 107;plant - potted_plant - 1001;0 - geographic_map - 1688;building - gazebo - 397;aircraft - helicopter - 1332;0 - umbrella - 1751;biped - human - 120;suv - jeep - 1492;biped - human - 206;bird - flying_bird - 43;building - one_story_home - 427;quadruped - dog - 88;sailboat - large_sail_boat - 1457;balloon_vehicle - hot_air_balloon - 1345;aircraft - helicopter - 1334;display_device - computer_monitor - 549;underwater_creature - fish - 69;biped - human - 198;sea_vessel - submarine - 1466;biped - human - 154;airplane - fighter_jet - 1254;quadruped - dog - 88;body_part - head - 370;liquid_container - pail - 512;0 - door - 1721;car - sedan - 1533;body_part - head - 352;airplane - biplane - 1129;body_part - hand - 330;wheel - gear - 746;0 - umbrella - 1752;body_part - head - 354;quadruped - dog - 91;sign - billboard - 1683;0 - slot_machine - 1803;underwater_creature - sea_turtle - 281;0 - door - 1718;tree - barren - 1058;airplane - commercial - 1166;building - one_story_home - 432;0 - city - 1662;0 - newtonian_toy - 1666;airplane - commercial - 1148;quadruped - dog - 89;wheel - gear - 742;0 - staircase - 1739;insect - butterfly - 14;furniture - shelves - 846;lamp - streetlight - 624;body_part - head - 340;0 - hourglass - 597;tree - conical - 1087;human - human_arms_out - 227;liquid_container - glass_with_stem - 495;blade - axe - 731;wheel - gear - 741;airplane - commercial - 1162;airplane - fighter_jet - 1242;chair - dining_chair - 824;0 - ladder - 1645;chair - dining_chair - 822;cycle - motorcycle - 1484;0 - newtonian_toy - 1666;blade - sword - 701;underwater_creature - sea_turtle - 282;0 - city - 1646;blade - sword - 707;blade - knife - 724;airplane - fighter_jet - 1194;body_part - head - 358;underwater_creature - sea_turtle - 281;computer - desktop - 1772;airplane - fighter_jet - 1178;guitar - electrical_guitar - 636;0 - city - 1662;body_part - head - 342;furniture - cabinet - 960;seat - desk_chair - 796;gun - handgun - 666;body_part - skull - 378;underwater_creature - fish - 57;quadruped - rabbit - 111;furniture - cabinet - 957;furniture - shelves - 850;balloon_vehicle - hot_air_balloon - 1343
